age_Ma,loess_d13C,loess_d18O,loess_long_d13C,loess_long_d18O
0.958,-0.298,3.481,-0.66025078,4.2938161
0.960,-0.392,3.511,-0.65818971,4.2925506
0.962,-0.557,3.690,-0.65607309,4.2912865
0.964,-0.708,3.928,-0.65390384,4.2900233
0.966,-0.780,4.216,-0.65168488,4.2887611
0.968,-0.795,4.460,-0.64941913,4.2875004
0.970,-0.660,4.521,-0.64710945,4.2862406
0.972,-0.493,4.506,-0.64475888,4.2849813
0.974,-0.393,4.404,-0.64237022,4.2837238
0.976,-0.336,4.271,-0.6399464,4.2824669
0.978,-0.360,4.165,-0.63749033,4.2812109
0.980,-0.421,4.087,-0.635005,4.2799559
0.982,-0.521,4.087,-0.6324932,4.2787018
0.984,-0.618,4.121,-0.62995791,4.2774482
0.986,-0.646,4.195,-0.62740201,4.276196
0.988,-0.642,4.278,-0.62482846,4.2749448
0.990,-0.616,4.332,-0.62224013,4.273694
0.992,-0.558,4.356,-0.61963999,4.2724442
0.994,-0.436,4.328,-0.61703086,4.2711949
0.996,-0.310,4.273,-0.61441571,4.2699466
0.998,-0.197,4.163,-0.61179745,4.2686992
1.000,-0.125,4.063,-0.60917896,4.2674522
1.002,-0.190,4.038,-0.60656321,4.2662058
1.004,-0.326,4.085,-0.60395306,4.2649603
1.006,-0.452,4.160,-0.60135144,4.2637157
1.008,-0.439,4.232,-0.59876126,4.2624712
1.010,-0.402,4.295,-0.59618539,4.2612276
1.012,-0.377,4.327,-0.59362686,4.2599845
1.014,-0.346,4.329,-0.59108847,4.2587423
1.016,-0.348,4.269,-0.58857316,4.2575002
1.018,-0.342,4.179,-0.58608383,4.256259
1.020,-0.257,4.061,-0.58362341,4.2550178
1.022,-0.161,3.954,-0.58119488,4.2537775
1.024,-0.096,3.903,-0.57880104,4.2525377
1.026,-0.070,3.892,-0.5764448,4.251298
1.028,-0.150,3.941,-0.57412916,4.2500587
1.030,-0.250,4.035,-0.57185698,4.2488198
1.032,-0.321,4.201,-0.56963122,4.2475815
1.034,-0.366,4.382,-0.5674547,4.2463436
1.036,-0.318,4.533,-0.56533039,4.2451057
1.038,-0.257,4.644,-0.56326121,4.2438684
1.040,-0.251,4.651,-0.56125009,4.2426314
1.042,-0.271,4.625,-0.55929989,4.2413945
1.044,-0.280,4.605,-0.55741352,4.2401576
1.046,-0.332,4.587,-0.55559391,4.2389212
1.048,-0.533,4.597,-0.55384398,4.2376847
1.050,-0.753,4.602,-0.55216664,4.2364488
1.052,-0.943,4.594,-0.55056483,4.2352128
1.054,-1.063,4.559,-0.54904139,4.2339768
1.056,-0.949,4.451,-0.54759926,4.2327414
