Sample ID,Depth (m),Age (Ma),O. umbonatus Mg/Ca,O. umbonatus Mg/Ca_adj,O. umbonatus B/Ca,C. mundulus d18O,C. mundulus d13C,interpolated d18O,interpolated d18O-BWT,C. wuellerstorfi Mg/Ca [mmol/mol],C. mundulus Mg/Ca [mmol/mol],BWT (O. umbonatus Mg-temp),BWT (C. wuellerstorfi Mg-temp),BWT (C. mundulus Mg-temp)
"130-806B-35X-3,77-81",323.77,9.4372,,,,,,,,,1.7523,,,6.1023
"130-806B-35X-3,77-81",323.77,9.4372,1.911,1.911,,,,,,,,5.6111,,
"130-806B-35X-4,75-79",325.25,9.4748,,,,,,,,,,,,
"130-806B-35X-5,75-79",326.75,9.5129,,,,,,,,,,,,
"130-806B-35X-6,75-79",328.25,9.551,,,,,,,,,,,,
"130-806B-36X-1,75-79",330.45,9.6069,,,,,,,,,,,,
"130-806B-36X-2,75-79",331.95,9.645,,,,,,,,,,,,
"130-806B-36X-3,80-84",333.5,9.6844,,,,,,,,1.7026,,,6.1912,
"130-806B-36X-3,80-84",333.5,9.6844,,,,,,,,,1.4849,,,4.5836
"130-806B-36X-3,80-84",333.5,9.6844,2.2125,2.2125,,,,,,,,6.896,,
"130-806B-36X-4,75-79",334.95,9.7212,,,,,,,,,,,,
"130-806B-36X-5,75-79",336.45,9.7593,,,,,,,,,,,,
"130-806B-36X-6,75-79",337.95,9.7974,,,,,,,,,,,,
"130-806B-36X-7,21-25",338.91,9.8218,,,,,,,,,,,,
"130-806B-37X-1,74-78",340.14,9.8531,,,,,,,,,,,,
"130-806B-37X-2,75-79",341.65,9.8914,,,,,,,,,,,,
"130-806B-37X-3,70-74",343.1,9.9283,,,,,,,,,,,,
"130-806B-37X-4,75-79",344.65,9.9676,,,,,,,,,,,,
"130-806B-37X-5,75-79",346.15,10.006,,,,,,,,,,,,
"130-806B-37X-6,60-64",347.5,10.04,,,,,,,,,,,,
"130-806B-38X-1,80-84",349.9,10.101,,,,,,,,,,,,
"130-806B-38X-2,75-79",351.35,10.138,,,,,,,,,,,,
"130-806B-38X-3,81-85",352.91,10.177,,,,,,,,,1.7006,,,5.8278
"130-806B-38X-3,81-85",352.91,10.177,2.0449,2.0449,,,,,,,,6.205,,
