Site,Sample depth,Age,Mg/Ca,Mg/Ca adj,Species,Paleodepth,Reference
DSDP607,40.6,1,1.5,2.07,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,40.7,1.004,1.32,1.82,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,40.9,1.008,1.3,1.79,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,41,1.011,1.31,1.8,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,41.2,1.015,1.4,1.93,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,41.3,1.018,1.4,1.93,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,41.8,1.027,1.56,2.15,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,41.9,1.03,1.65,2.28,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
ODP0806,23.87,1.03,1.23,1.54,Cibicidoides wuellerstorfi,2536,LearRosenthalWright03
ODP0806,23.87,1.03,1.42,1.47,Oridorsalis umbonatus,2536,LearRosenthalWright03
DSDP607,42.1,1.033,1.39,1.91,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
ODP1088,13.34,1.033,1.56,1.95,Cibicidoides wuellerstorfi,2087,BillupsScheiderich10
DSDP607,42.2,1.036,1.47,2.03,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,42.4,1.039,1.76,2.43,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,42.5,1.042,1.47,2.03,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,42.7,1.045,1.49,2.05,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,42.8,1.048,1.28,1.76,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,43.1,1.054,1.31,1.8,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
DSDP607,43.3,1.057,1.43,1.97,Cibicidoides wuellerstorfi,3417,SosdianRosenthal09
